"Date","Market","Component","Delmo","Segment","Price"
2017-07-11,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.98985
2017-07-11,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.23025
2017-07-11,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.8346
2017-07-12,"ERCOT ","ZONE N",2018-01-01,"pkPrice",28.2115
2017-07-12,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.4144
2017-07-12,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.574
2017-07-12,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.8464
2017-07-12,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.7847
2017-07-12,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.8528
2017-07-12,"ERCOT ","ZONE N",2018-07-01,"pkPrice",48.2328
2017-07-12,"ERCOT ","ZONE N",2018-08-01,"pkPrice",68.4726
2017-07-12,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.95505
2017-07-12,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.8255
2017-07-12,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.0735
2017-07-12,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.6888
2017-07-13,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.885
2017-07-13,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.10385
2017-07-13,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.2935
2017-07-13,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.7784
2017-07-13,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.8762
2017-07-13,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.9872
2017-07-13,"ERCOT ","ZONE N",2018-07-01,"pkPrice",48.4344
2017-07-13,"ERCOT ","ZONE N",2018-08-01,"pkPrice",68.7582
2017-07-13,"ERCOT ","ZONE N",2018-09-01,"pkPrice",31.08525
2017-07-13,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.9293
2017-07-13,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.18075
2017-07-13,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.8346
2017-07-14,"ERCOT ","ZONE N",2018-01-01,"pkPrice",28.13005
2017-07-14,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.3347
2017-07-14,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.52165
2017-07-14,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.93735
2017-07-14,"ERCOT ","ZONE N",2018-05-01,"pkPrice",26.01345
2017-07-14,"ERCOT ","ZONE N",2018-06-01,"pkPrice",32.1328
2017-07-14,"ERCOT ","ZONE N",2018-07-01,"pkPrice",48.636
2017-07-14,"ERCOT ","ZONE N",2018-08-01,"pkPrice",69.0438
2017-07-14,"ERCOT ","ZONE N",2018-09-01,"pkPrice",31.0608
2017-07-14,"ERCOT ","ZONE N",2018-10-01,"pkPrice",25.02445
2017-07-14,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.2715
2017-07-14,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.9237
2017-07-17,"ERCOT ","ZONE N",2018-01-01,"pkPrice",28.3413
2017-07-17,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.54845
2017-07-17,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.6991
2017-07-17,"ERCOT ","ZONE N",2018-04-01,"pkPrice",27.01215
2017-07-17,"ERCOT ","ZONE N",2018-05-01,"pkPrice",26.0592
2017-07-17,"ERCOT ","ZONE N",2018-06-01,"pkPrice",32.1776
2017-07-17,"ERCOT ","ZONE N",2018-07-01,"pkPrice",48.6864
2017-07-17,"ERCOT ","ZONE N",2018-08-01,"pkPrice",69.0914
2017-07-17,"ERCOT ","ZONE N",2018-09-01,"pkPrice",31.0932
2017-07-17,"ERCOT ","ZONE N",2018-10-01,"pkPrice",25.0504
2017-07-17,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.288
2017-07-17,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.9237
2017-07-18,"ERCOT ","ZONE N",2018-01-01,"pkPrice",28.678783
2017-07-18,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.874115
2017-07-18,"ERCOT ","ZONE N",2018-03-01,"pkPrice",28.004583
2017-07-18,"ERCOT ","ZONE N",2018-04-01,"pkPrice",27.2272
2017-07-18,"ERCOT ","ZONE N",2018-05-01,"pkPrice",26.17767
2017-07-18,"ERCOT ","ZONE N",2018-06-01,"pkPrice",32.23465
