"Date","Market","Component","Delmo","Segment","Price"
2017-07-11,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.066
2017-07-12,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.319
2017-07-12,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.304
2017-07-12,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.244
2017-07-12,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.856
2017-07-12,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.818
2017-07-12,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.844
2017-07-12,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.871
2017-07-12,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.877
2017-07-12,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.853
2017-07-12,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.87
2017-07-12,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.918
2017-07-12,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.048
2017-07-13,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.3
2017-07-13,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.287
2017-07-13,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.23
2017-07-13,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.864
2017-07-13,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.828
2017-07-13,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.856
2017-07-13,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.883
2017-07-13,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.889
2017-07-13,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.865
2017-07-13,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.882
2017-07-13,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.931
2017-07-13,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.066
2017-07-14,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.329
2017-07-14,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.314
2017-07-14,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.257
2017-07-14,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.881
2017-07-14,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.843
2017-07-14,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.869
2017-07-14,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.895
2017-07-14,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.901
2017-07-14,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.876
2017-07-14,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.893
